iter	Passed	Remaining
0	1	130
1	2	114
2	3	105
3	3	94
4	4	92
5	5	90
6	6	89
7	7	87
8	8	85
9	9	85
10	10	83
11	11	82
12	12	80
13	12	79
14	13	78
15	14	77
16	15	76
17	16	74
18	17	73
19	18	72
20	19	74
21	20	73
22	21	72
23	22	71
24	23	69
25	24	68
26	24	67
27	25	65
28	26	64
29	27	64
30	28	63
31	29	62
32	30	61
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	13
84	74	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	79	6
92	81	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
